ProductTitle,EveryDayVolumnModelList,ProductPrice,ProductSource,ProductSourceImage,Cover,TagName,BloggerCount,LiveCount,Volume,Price,PriceValue,ProductUrl,ProductThirdUrl,HasReply,BrandName,BrandId,BrandDetailUrl,ShopId,RealProductId,IsCommissionRate,CommissionRate,ShopName,ShopDetailUrl,SourceTypeName,IsLigthning,Living,PriceRate,IsPriceBlock,BeginDate,EndDate
尚川老面味发酵粉发面宝酵母粉蒸馒头包子家用快速发酵蓬松6g/袋,[],8.90 - 9.99,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-1653194726-155dafc06d514cfbba04b6e185b60487.jpg,烘焙原料/食品添加剂,140,3394,1.6w,15.9w,0.0,#/StaticPage/ProductDetail?relProductId=21129200396726&sourceType=99&timestamp=1717111576&signature=361f3f389462c4475c0ac8756eb90dd5,https://app.kwaixiaodian.com/merchant/shop/detail?id=21129200396726,0,尚川,50561,#/StaticPage/BrandDetail?brandId=50561&isTrusted=true,1535,21129200396726,1,50%,尚川官方旗舰店,#/StaticPage/Shop/Detail?shopId=1535,快手小店,0,,0,-1,,
9.9到手50包 老面味发面王发面宝发酵粉高活性小包酵母粉蒸馒头包,[],9.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3506467190-f7175746691a4eddae37581a597c0436.jpg,烘焙原料/食品添加剂,74,1736,1.2w,12.3w,0.0,#/StaticPage/ProductDetail?relProductId=21640676072190&sourceType=99&timestamp=1717111576&signature=011e2c9999fa890e9b971793e353137f,https://app.kwaixiaodian.com/merchant/shop/detail?id=21640676072190,0,家家会,169097,#/StaticPage/BrandDetail?brandId=169097&isTrusted=true,297982,21640676072190,0,0%,致广大食品专营店,#/StaticPage/Shop/Detail?shopId=297982,快手小店,0,,0,-1,,
9.9到手50包 老面味发面王发面宝发酵粉高活性小包酵母粉蒸馒头,[],9.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3506467190-f7175746691a4eddae37581a597c0436.jpg,烘焙原料/食品添加剂,175,1948,9392,9.3w,0.0,#/StaticPage/ProductDetail?relProductId=21747272071190&sourceType=99&timestamp=1717111576&signature=cc1ec6c54e8a48a1a76f04fb139a0144,https://app.kwaixiaodian.com/merchant/shop/detail?id=21747272071190,0,家家会,169097,#/StaticPage/BrandDetail?brandId=169097&isTrusted=true,297982,21747272071190,0,0%,致广大食品专营店,#/StaticPage/Shop/Detail?shopId=297982,快手小店,0,,0,-1,,
【直播专享！13.9元5袋】蛋糕预拌粉 奶香浓郁 香甜湿滑 100克/袋,[],13.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-2499940465-31b8ac2bf1bf442b923cd1cef42d3b3f.jpg,烘焙原料/食品添加剂,1,16,6101,8.5w,0.0,#/StaticPage/ProductDetail?relProductId=21789559703465&sourceType=99&timestamp=1717111576&signature=cf9901edff2c1962f62481104b6d6acd,https://app.kwaixiaodian.com/merchant/shop/detail?id=21789559703465,0,,0,,308039,21789559703465,0,0%,肖栎食品2个体店,#/StaticPage/Shop/Detail?shopId=308039,快手小店,0,,0,-1,,
【安娜】家用活性酵母粉,[],3.80,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,https://u1-203.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-2764424323-56f839e2a2f34ceb9aac27e9163651e7.jpg,烘焙原料/食品添加剂,1,1,1.8w,6.7w,0.0,#/StaticPage/ProductDetail?relProductId=21769711879323&sourceType=99&timestamp=1717111576&signature=9ca174e13ee045ce75857197dce4eb05,https://app.kwaixiaodian.com/merchant/shop/detail?id=21769711879323,0,会养五谷食方,257274,#/StaticPage/BrandDetail?brandId=257274&isTrusted=true,155449,21769711879323,0,0%,乐陵聚美食尚食品专营店,#/StaticPage/Shop/Detail?shopId=155449,快手小店,0,,0,-1,,
【直播专享！30包19.9元】老面味发酵粉 快速发酵稳定性高5g/包,[],19.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-2499940465-b709c74d73b34f36ad638abf6d50fbcb.jpg,烘焙原料/食品添加剂,1,18,3289,6.5w,0.0,#/StaticPage/ProductDetail?relProductId=21943288676465&sourceType=99&timestamp=1717111576&signature=0ade584711069c808fdf06a6347a923c,https://app.kwaixiaodian.com/merchant/shop/detail?id=21943288676465,0,,0,,308039,21943288676465,0,0%,肖栎食品2个体店,#/StaticPage/Shop/Detail?shopId=308039,快手小店,0,,0,-1,,
俄罗斯马克发面粉2kg,[],19.90 - 22.80,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u1-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-1254295712-f33b6ee7469140e6846dc778266b3cd0.jpg,烘焙原料/食品添加剂,6,265,3222,6.4w,0.0,#/StaticPage/ProductDetail?relProductId=21067878516712&sourceType=99&timestamp=1717111576&signature=88c69215e2f19a067ed6d309e423eb74,https://app.kwaixiaodian.com/merchant/shop/detail?id=21067878516712,0,马克发,2469,#/StaticPage/BrandDetail?brandId=2469&isTrusted=true,186385,21067878516712,1,15%,飞钒食品专营店,#/StaticPage/Shop/Detail?shopId=186385,快手小店,0,,0,-1,,
9.9到手50包 老面味发面王发面宝发酵粉高活性酵母粉蒸馒头H,[],9.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,https://u1-203.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3506467190-f7175746691a4eddae37581a597c0436.jpg,烘焙原料/食品添加剂,29,309,6091,6.0w,0.0,#/StaticPage/ProductDetail?relProductId=22047860423190&sourceType=99&timestamp=1717111576&signature=9f5669dacbffda4a5f080d7657f8216c,https://app.kwaixiaodian.com/merchant/shop/detail?id=22047860423190,0,家家会,169097,#/StaticPage/BrandDetail?brandId=169097&isTrusted=true,297982,22047860423190,0,0%,致广大食品专营店,#/StaticPage/Shop/Detail?shopId=297982,快手小店,0,,0,-1,,
【直播好物！13.9元5袋】蛋糕预拌粉 奶香浓郁 香甜湿滑 100克/袋,[],13.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,https://u1-203.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-2499940465-31b8ac2bf1bf442b923cd1cef42d3b3f.jpg,烘焙原料/食品添加剂,1,1,4158,5.8w,0.0,#/StaticPage/ProductDetail?relProductId=21819809193465&sourceType=99&timestamp=1717111576&signature=206be733615b57f150d7dcfd6f5686c8,https://app.kwaixiaodian.com/merchant/shop/detail?id=21819809193465,0,,0,,308039,21819809193465,0,0%,肖栎食品2个体店,#/StaticPage/Shop/Detail?shopId=308039,快手小店,0,,0,-1,,
森庄农品 【4袋仅19.9元】凉皮专用粉陕西做凉皮面粉,[],19.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,https://u1-203.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3409582260-9a321cdbdef94144b8eb2938c5f90d11.jpg,烘焙原料/食品添加剂,8,87,2839,5.6w,0.0,#/StaticPage/ProductDetail?relProductId=22115755745260&sourceType=99&timestamp=1717111576&signature=c9e1d38a6f7c2ea66f75438f89032990,https://app.kwaixiaodian.com/merchant/shop/detail?id=22115755745260,0,森庄农品,80360,#/StaticPage/BrandDetail?brandId=80360&isTrusted=true,309723,22115755745260,0,0%,森庄农品广州专卖店,#/StaticPage/Shop/Detail?shopId=309723,快手小店,0,,0,-1,,
五谷乐享高活性耐高糖发面宝家用面包蛋糕馒头花卷多用型酵母粉,[],9.99,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3305833949-d3b4b5d9ce084c8f943f55f5d7a48c0d.jpg,烘焙原料/食品添加剂,18,452,5491,5.5w,0.0,#/StaticPage/ProductDetail?relProductId=21366515564949&sourceType=99&timestamp=1717111576&signature=9a8d345f516229b979a390c6b1be78bc,https://app.kwaixiaodian.com/merchant/shop/detail?id=21366515564949,0,五谷乐享,242665,#/StaticPage/BrandDetail?brandId=242665&isTrusted=true,233287,21366515564949,1,50%,五谷乐享森林专卖店,#/StaticPage/Shop/Detail?shopId=233287,快手小店,0,,0,-1,,
【铁妯娌宠粉福利】即买即送五谷乐享发面宝6g蒸馒头包子花卷发酵,[],9.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,https://u2-203.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3305833949-e695d627f92140c2af3c71b6366f26eb.jpg,烘焙原料/食品添加剂,1,7,5322,5.3w,0.0,#/StaticPage/ProductDetail?relProductId=22228245031949&sourceType=99&timestamp=1717111576&signature=aff5d0501027803ea6d94f2e818aac40,https://app.kwaixiaodian.com/merchant/shop/detail?id=22228245031949,0,五谷乐享,242665,#/StaticPage/BrandDetail?brandId=242665&isTrusted=true,233287,22228245031949,0,0%,五谷乐享森林专卖店,#/StaticPage/Shop/Detail?shopId=233287,快手小店,0,,0,-1,,
【花姐专享】老面味发面宝6克 复合酵母速发粉富含生物酶益生菌,[],9.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-2418424667-b01a0e5caca44da381e04dda9f66a32a.jpg,烘焙原料/食品添加剂,84,2632,5248,5.2w,0.0,#/StaticPage/ProductDetail?relProductId=20719548089667&sourceType=99&timestamp=1717111576&signature=a5a4a9cb4aaad7210963d6f34ee2f3b3,https://app.kwaixiaodian.com/merchant/shop/detail?id=20719548089667,0,古琪,258146,#/StaticPage/BrandDetail?brandId=258146&isTrusted=true,73187,20719548089667,1,50%,茂汇食品专营店,#/StaticPage/Shop/Detail?shopId=73187,快手小店,0,,0,-1,,
【孙老太专属】虎师傅 50袋高活性耐高糖干酵母馒头发酵粉5克/袋,[],9.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-779340010-e11422f6c5fb4717ba72021bedd65a63.jpg,烘焙原料/食品添加剂,1,74,5152,5.1w,0.0,#/StaticPage/ProductDetail?relProductId=21898894642010&sourceType=99&timestamp=1717111576&signature=f02325f1d76f6367bdb59c127fa61c87,https://app.kwaixiaodian.com/merchant/shop/detail?id=21898894642010,0,虎师傅,88724,#/StaticPage/BrandDetail?brandId=88724&isTrusted=true,180896,21898894642010,0,0%,希尔康调味品专营店,#/StaticPage/Shop/Detail?shopId=180896,快手小店,0,,0,-1,,
重磅【9.9抢50袋】发面旺老面味益生菌酵母发面宝发酵自发速发粉,[],9.90 - 9.99,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,https://u1-203.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-644422386-43d32f4265574fdd9e5d022673406133.jpg,烘焙原料/食品添加剂,6,253,5090,5.1w,0.0,#/StaticPage/ProductDetail?relProductId=21251457844386&sourceType=99&timestamp=1717111576&signature=dd4208bfbd9418230ae9b306418fddae,https://app.kwaixiaodian.com/merchant/shop/detail?id=21251457844386,0,发龘财,133603,#/StaticPage/BrandDetail?brandId=133603&isTrusted=true,281902,21251457844386,1,10%,帅哥食品专营店,#/StaticPage/Shop/Detail?shopId=281902,快手小店,0,,0,-1,,
【直播专享！29.9元10袋】家用蛋糕预拌粉 奶香浓郁 100克/袋,[],29.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-2499940465-c63bd748141542dba8bf8929fdfc6ec9.jpg,烘焙原料/食品添加剂,1,17,1579,4.7w,0.0,#/StaticPage/ProductDetail?relProductId=22020341410465&sourceType=99&timestamp=1717111583&signature=f559090b5084d970afcf29697719b91a,https://app.kwaixiaodian.com/merchant/shop/detail?id=22020341410465,0,,0,,308039,22020341410465,0,0%,肖栎食品2个体店,#/StaticPage/Shop/Detail?shopId=308039,快手小店,0,,0,-1,,
尚川耐高糖高活性干酵母粉蒸馒头包子花卷发糕面包多用型5g袋,[],9.90 - 9.99,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,https://u1-203.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-1653194726-769796a16b744f3983d2611bf41bde9a.jpg,烘焙原料/食品添加剂,199,4944,4731,4.6w,0.0,#/StaticPage/ProductDetail?relProductId=20578181756726&sourceType=99&timestamp=1717111583&signature=1e506eeac6c6a6b862493aaec43f1019,https://app.kwaixiaodian.com/merchant/shop/detail?id=20578181756726,0,尚川,50561,#/StaticPage/BrandDetail?brandId=50561&isTrusted=true,1535,20578181756726,1,20%,尚川官方旗舰店,#/StaticPage/Shop/Detail?shopId=1535,快手小店,0,,0,-1,,
【10袋仅9.9】发面旺5g速发粉包子馒头花卷专用发酵粉老面味,[],9.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,https://u1-203.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3409582260-239bf159e72843939aead3b657aa7e22.jpg,烘焙原料/食品添加剂,4,102,4277,4.2w,0.0,#/StaticPage/ProductDetail?relProductId=21301732862260&sourceType=99&timestamp=1717111583&signature=fd45b8d4904cf233e84b694d24d73e44,https://app.kwaixiaodian.com/merchant/shop/detail?id=21301732862260,0,森庄农品,80360,#/StaticPage/BrandDetail?brandId=80360&isTrusted=true,309723,21301732862260,0,0%,森庄农品广州专卖店,#/StaticPage/Shop/Detail?shopId=309723,快手小店,0,,0,-1,,
尚川酵母粉耐高糖干酵母家用发孝粉5g/包,[],9.99,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-2599813491-8f9e3ff7844c4c6fab81c39b448ebacf.jpg,烘焙原料/食品添加剂,7,168,4022,4.0w,0.0,#/StaticPage/ProductDetail?relProductId=21284988031491&sourceType=99&timestamp=1717111583&signature=c052ebcc6b9c240c4938f8da5917a3ad,https://app.kwaixiaodian.com/merchant/shop/detail?id=21284988031491,1,尚川,50561,#/StaticPage/BrandDetail?brandId=50561&isTrusted=true,155400,21284988031491,1,20%,尚川旗舰店,#/StaticPage/Shop/Detail?shopId=155400,快手小店,0,,0,-1,,
小朱专属【抢40包】发面旺老面味酵母粉包子馒头高活性干酵母发面,[],9.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,https://u1-203.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-1493737823-580c5bf6cad7475c8b3f0e8bda045f20.jpg,烘焙原料/食品添加剂,1,27,3855,3.8w,0.0,#/StaticPage/ProductDetail?relProductId=21927738898823&sourceType=99&timestamp=1717111583&signature=675442c9330c0c6faacd26cc8da136d1,https://app.kwaixiaodian.com/merchant/shop/detail?id=21927738898823,0,发龘财,133603,#/StaticPage/BrandDetail?brandId=133603&isTrusted=true,358567,21927738898823,0,0%,京都名品食品专营店,#/StaticPage/Shop/Detail?shopId=358567,快手小店,0,,0,-1,,
【直播专享！50包19.9元】老面味发酵粉 快速发酵稳定性高5g/包,[],19.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u1-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-2499940465-8a1821b60d9e470a8ce40f06d6446724.jpg,烘焙原料/食品添加剂,1,6,1793,3.6w,0.0,#/StaticPage/ProductDetail?relProductId=21755784001465&sourceType=99&timestamp=1717111583&signature=e5eec145444db8a82137cc2bf5b844c0,https://app.kwaixiaodian.com/merchant/shop/detail?id=21755784001465,0,,0,,308039,21755784001465,0,0%,肖栎食品2个体店,#/StaticPage/Shop/Detail?shopId=308039,快手小店,0,,0,-1,,
蕾姐专属 老面味发面王发面宝发酵粉高活性小包酵母粉蒸馒头,[],9.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3506467190-c4516b20e3a544c0844a305d7e6940f6.jpg,烘焙原料/食品添加剂,1,22,3420,3.4w,0.0,#/StaticPage/ProductDetail?relProductId=21830479707190&sourceType=99&timestamp=1717111583&signature=6490af3dda8dc6a493b568c42a850d82,https://app.kwaixiaodian.com/merchant/shop/detail?id=21830479707190,0,家家会,169097,#/StaticPage/BrandDetail?brandId=169097&isTrusted=true,297982,21830479707190,0,0%,致广大食品专营店,#/StaticPage/Shop/Detail?shopId=297982,快手小店,0,,0,-1,,
(抢！9.9到手50包)老面味发面王发面宝发酵粉高活性小包酵母粉,[],9.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3506467190-f7175746691a4eddae37581a597c0436.jpg,烘焙原料/食品添加剂,13,324,3304,3.3w,0.0,#/StaticPage/ProductDetail?relProductId=21650924688190&sourceType=99&timestamp=1717111583&signature=d4ebd55fa465a99bb7cb0550bc5f86ad,https://app.kwaixiaodian.com/merchant/shop/detail?id=21650924688190,0,家家会,169097,#/StaticPage/BrandDetail?brandId=169097&isTrusted=true,297982,21650924688190,0,0%,致广大食品专营店,#/StaticPage/Shop/Detail?shopId=297982,快手小店,0,,0,-1,,
安琪高活性干酵母粉5g/袋烘焙家用包子馒头孝母发孝粉cxs,[],13.75 - 19.80,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-2396996517-8596b5eda790441887ccfa8a549b0ae8.jpg,烘焙原料/食品添加剂,1,2,2187,3.2w,0.0,#/StaticPage/ProductDetail?relProductId=21912456000517&sourceType=99&timestamp=1717111583&signature=f24d415484359f63d33e5136ed559088,https://app.kwaixiaodian.com/merchant/shop/detail?id=21912456000517,0,安琪/ANGEL,12688,#/StaticPage/BrandDetail?brandId=12688&isTrusted=true,89250,21912456000517,0,0%,安琪旗舰店,#/StaticPage/Shop/Detail?shopId=89250,快手小店,0,,0,-1,,
【李宣专属】 希杰大喜大官方牛肉粉300g调味料,[],10.90 - 13.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u1-000.ecukwai.com/bs2/image-kwaishop-product/item-2867988679-46e0c1fbabe44b4d9ef7f2a5a60fb122.jpg,烘焙原料/食品添加剂,1,43,2284,3.2w,0.0,#/StaticPage/ProductDetail?relProductId=21491322991679&sourceType=99&timestamp=1717111583&signature=c041af785d0722a8cf8b627d5cb4d68e,https://app.kwaixiaodian.com/merchant/shop/detail?id=21491322991679,0,希杰,21068,#/StaticPage/BrandDetail?brandId=21068&isTrusted=true,177199,21491322991679,0,0%,CJ希杰专卖店,#/StaticPage/Shop/Detail?shopId=177199,快手小店,0,,0,-1,,
